first_set_11_15,first_set_15_19,second_set_11_15,second_set_15_19,final_set_11_15,final_set_15_19,head_to_head,venue,ranking_seed,recent_match_won,win_loss
2,6,3,2,0,0,0,0,-78,2,1
6,6,13,17,0,0,-1,0,-77,0,1
10,7,4,3,0,0,2,0,5,0,1
7,11,8,10,0,0,0,0,-76,5,1
10,12,4,3,0,0,4,0,-23,5,1
8,10,12,13,0,0,0,0,-32,5,1
4,5,1,1,0,0,-5,0,-25,0,1
10,9,11,12,0,0,1,0,-35,3,1
-1,3,6,7,0,0,0,0,-22,4,1
1,3,-3,-4,0,0,-3,0,23,0,1
8,10,-4,-2,7,6,-1,1,6,0,1
-5,-1,12,8,0,0,2,1,16,1,1
2,6,6,3,0,0,-2,0,14,1,1
7,9,7,9,0,0,0,0,-44,3,1
3,3,-6,-1,0,0,1,1,-17,1,1
7,9,-3,-3,8,8,2,0,-27,3,1
9,9,3,4,0,0,0,0,-80,4,1
-1,3,4,5,0,0,4,0,-11,4,1
5,7,3,3,0,0,0,0,38,0,1
7,10,1,3,7,7,0,0,-1,0,1
8,8,1,2,0,0,5,1,-28,3,1
8,9,5,9,0,0,2,1,-71,2,1
1,2,-11,-13,5,7,-8,1,5,-2,1
8,7,4,2,0,0,3,0,-48,2,1
4,4,1,2,0,0,2,0,-26,2,1
8,11,7,8,0,0,0,0,-54,2,1
9,10,9,11,0,0,7,0,-16,-1,1
10,14,10,7,0,0,1,0,-8,-1,1
12,13,6,10,0,0,3,0,-3,-1,1
-4,-7,9,6,7,7,3,-1,1,-3,1
-4,1,11,12,0,0,-3,0,4,-4,1
4,3,-1,-1,8,8,0,0,-2,1,1
6,8,7,10,0,0,3,0,-55,0,1
4,3,8,12,0,0,0,0,-62,-1,1
4,5,4,2,0,0,1,0,6,-1,1
10,11,8,10,0,0,0,0,9,0,1
2,4,9,11,-3,-1,0,0,64,0,1
2,3,7,9,0,0,2,0,-69,2,1
4,7,4,7,0,0,6,0,-9,-1,1
5,6,-6,-2,8,7,-1,-1,-3,-2,1
11,12,1,5,0,0,4,0,1,1,1
1,2,-3,1,0,0,-4,0,16,-1,1
-3,-4,3,6,0,0,-2,0,9,-2,1
8,8,7,9,0,0,2,0,-48,2,1
8,7,8,11,0,0,7,0,-38,4,1
7,10,2,2,0,0,1,0,-6,1,1
2,4,1,1,0,0,-3,0,-5,-1,1
3,6,-4,-7,0,0,0,0,1,2,1
-6,-7,-4,-3,9,9,2,0,-15,2,1
-4,-6,2,3,7,9,0,0,-38,0,1
4,5,5,9,0,0,0,0,-22,-1,1
8,9,8,8,0,0,0,0,-43,1,1
-3,-3,5,5,1,2,0,-1,-23,2,1
-2,1,6,8,0,0,6,0,-9,3,1
1,2,6,8,0,0,0,1,-31,2,1
7,11,9,9,0,0,0,0,-78,2,1
1,-1,4,2,0,0,0,0,-4,-1,1
7,8,1,-2,5,5,0,0,-17,3,1
2,3,2,4,0,0,0,0,-4,2,1
9,3,1,1,0,0,0,0,4,0,1
-1,2,8,11,0,0,5,0,-9,5,1
6,6,7,8,0,0,0,0,-57,1,1
5,6,9,8,0,0,0,0,-36,1,1
10,9,10,13,0,0,0,0,-27,2,1
7,8,-3,-1,0,0,2,0,-30,-1,1
6,6,3,-1,6,6,0,0,-16,1,1
8,11,7,5,0,0,2,0,-17,0,1
1,1,7,11,0,0,-6,0,11,0,1
6,9,-3,-2,8,7,6,0,7,-3,1
5,5,8,11,0,0,0,0,1,0,1
